term,sage,freq
advertisement,1.75780890445,14795
advertiser,1.74916595632,496
shampoo,1.73657533671,264
advertisment,1.73640474001,779
advertised,1.7360034565,114
perfume,1.73272817334,102
advert,1.73210580873,100
advertisments,1.72874258391,780
advertise,1.72586501723,1250
ad,1.71716353435,1016
pepsi,1.7142340384,64
product,1.70082116572,22232
advertising,1.69919387401,1354
advertiments,1.69473669641,46
advetisement,1.69157642652,44
advertissement,1.69157642652,44
burger,1.68480409509,167
advertisements,1.68429698812,40
advertissements,1.68429698812,40
diet,1.68121027191,184
stain,1.68007537798,38
pubblicity,1.68007537798,38
hamburger,1.67947827762,109
exaggerate,1.67867088362,155
coke,1.67611774324,82
produts,1.67537822509,36
prodcuts,1.67537822509,36
cosmetic,1.67495047517,126
commercial,1.67343307566,1012
exaggerated,1.67278570293,57
nike,1.67159840963,78
products,1.67012009443,34
cola,1.66555627544,114
hair,1.66482008793,478
packaging,1.66419370201,32
wrinkle,1.66419370201,32
deceive,1.66387058366,72
toothpaste,1.66199586358,51
adverstisements,1.66199586358,51
pill,1.65821229402,163
lotion,1.6574624193,30
acne,1.6574624193,30
catchy,1.6574624193,30
cigarette,1.65553993785,85
producte,1.64974944655,28
doll,1.6476338843,62
advertisemnts,1.64082177781,26
photoshop,1.64082177781,26
yoghurt,1.64082177781,26
custumer,1.64082177781,26
billboard,1.63688910917,41
costumer,1.63635718121,261
advertisiments,1.6303657543,24
mascara,1.6303657543,24
adverisements,1.6303657543,24
advertisiment,1.6303657543,24
advetisements,1.6303657543,24
advertiment,1.6303657543,24
gel,1.6303657543,24
razor,1.6303657543,24
detergent,1.63025852651,54
consumer,1.62428023116,1950
comercials,1.62297498483,37
mac,1.62297498483,37
barbie,1.61794850877,22
trailer,1.61794850877,22
saler,1.61794850877,22
cocacola,1.61794850877,22
cereal,1.61336321361,48
teeth,1.61201451481,74
tasty,1.61164711858,87
publicity,1.61077491294,152
fake,1.6089022961,189
prodcut,1.60295465913,20
sauce,1.60295465913,20
producs,1.60295465913,20
michelin,1.60295465913,20
advertisemnt,1.60295465913,20
promotional,1.60295465913,20
milk,1.60254268848,107
jean,1.60026692623,81
exageration,1.59519726259,31
unethical,1.59519726259,31
seller,1.59474497907,197
poster,1.5942805007,90
comercial,1.58940851731,53
fat,1.58654245992,154
cheat,1.58499581971,220
burguer,1.58447715939,18
cm,1.58447715939,18
cosumers,1.58447715939,18
adverstisement,1.58447715939,18
advertisemets,1.58447715939,18
adverisement,1.58447715939,18
advertisors,1.58330567693,29
fries,1.58330567693,29
pesticide,1.58277172809,40
exagerate,1.58277172809,40
costomers,1.58227151608,62
cream,1.57978342906,192
chocolate,1.5780114295,93
customer,1.57658380912,2334
watcher,1.56958872795,27
reallity,1.56958872795,27
coca,1.56787962121,78
knife,1.56564214119,67
advertizement,1.56223046624,36
advertisemnet,1.56111731752,16
advirtesements,1.56111731752,16
decieved,1.56111731752,16
eraser,1.56111731752,16
pruduct,1.56111731752,16
glove,1.56111731752,16
media,1.56111731752,16
kilo,1.56111731752,16
allergy,1.56111731752,16
toshiba,1.56111731752,16
exagerating,1.56111731752,16
whiten,1.56111731752,16
trademark,1.56111731752,16
advertsements,1.56111731752,16
producer,1.55854589121,466
coustomer,1.55358497277,25
advertize,1.55358497277,25
frozen,1.55358497277,25
shirt,1.55286143328,63
texture,1.5500857185,34
mcdonald,1.5500857185,34
spray,1.54806528487,43
buyer,1.54799953068,285
misleading,1.53929176735,104
bottle,1.53830295758,59
tooth,1.53789322585,50
audience,1.53684173024,156
refund,1.53636365469,32
visually,1.53466010874,23
persuade,1.53104319537,109
attrack,1.53058852615,14
curly,1.53058852615,14
prodect,1.53058852615,14
consummer,1.53058852615,14
misrepresentation,1.53058852615,14
advertisemet,1.53058852615,14
vaccum,1.53058852615,14
shaver,1.53058852615,14
silky,1.53058852615,14
overdo,1.53058852615,14
desiderable,1.53058852615,14
subliminal,1.53058852615,14
marlboro,1.53058852615,14
sprey,1.53058852615,14
ornament,1.53058852615,14
geico,1.53058852615,14
dandruff,1.53058852615,14
somethingh,1.53058852615,14
advetisments,1.53058852615,14
exagerations,1.53058852615,14
viewer,1.52426385822,64
celebrity,1.5195255797,178
promise,1.51555297398,240
disappoint,1.51232132596,117
tomato,1.51191556168,21
trick,1.51121589432,220
shiny,1.5079526762,60
looking,1.50375346926,90
soap,1.50167432717,120
sell,1.49993696673,2675
dissapointed,1.49892465753,58
paste,1.49730728265,35
sexy,1.49730728265,35
message,1.4937970616,206
baught,1.48884304092,12
advirtesement,1.48884304092,12
adertisements,1.48884304092,12
rolex,1.48884304092,12
adverstising,1.48884304092,12
branding,1.48884304092,12
subconscious,1.48884304092,12
advil,1.48884304092,12
comsumer,1.48884304092,12
advertisementes,1.48884304092,12
advertisemant,1.48884304092,12
magazin,1.48884304092,12
producter,1.48884304092,12
adevertisements,1.48884304092,12
commecial,1.48884304092,12
pruducts,1.48884304092,12
lipstick,1.48884304092,12
advertisemens,1.48884304092,12
choclate,1.48884304092,12
jingle,1.48884304092,12
advertiesments,1.48884304092,12
ads,1.48884304092,12
powder,1.48774365544,63
deodorant,1.48403014074,19
calcium,1.48403014074,19
tobacco,1.48403014074,19
consummers,1.48403014074,19
retailer,1.48403014074,19
commerical,1.48403014074,19
saled,1.48403014074,19
mislead,1.48226669539,212
beverage,1.48183633491,26
costomer,1.48058216639,33
slim,1.48058216639,33
disapointed,1.47977075216,40
slogan,1.47920307969,47
skin,1.46808183106,202
exagerated,1.46157046451,31
disappointed,1.46047964249,104
brand,1.45867634429,705
exaggeration,1.45786130514,57
banana,1.45718848098,24
betray,1.45718848098,24
televison,1.45527414788,50
delicious,1.44996198369,152
truthful,1.44896679525,17
dye,1.44896679525,17
productes,1.44896679525,17
packet,1.44896679525,17
atract,1.44896679525,17
bowl,1.44896679525,17
bombard,1.44896679525,17
juicy,1.44896679525,17
apparence,1.44896679525,17
propaganda,1.44699823238,36
manipulation,1.44699823238,36
radio,1.44540599545,340
image,1.44266404904,771
visual,1.44206926736,117
pair,1.43273029721,65
magazine,1.42913531603,360
conparny,1.42782284446,10
testimonial,1.42782284446,10
advertisemnets,1.42782284446,10
advertisor,1.42782284446,10
avertisement,1.42782284446,10
pictuers,1.42782284446,10
viagra,1.42782284446,10
implicit,1.42782284446,10
ethically,1.42782284446,10
prudacts,1.42782284446,10
embellish,1.42782284446,10
lash,1.42782284446,10
attactive,1.42782284446,10
nutritional,1.42782284446,10
lying,1.42782284446,10
advertsement,1.42782284446,10
duster,1.42782284446,10
mktg,1.42782284446,10
advertisemants,1.42782284446,10
skinny,1.42782284446,10
publicist,1.42782284446,10
colaturka,1.42782284446,10
advertises,1.42782284446,10
produkts,1.42782284446,10
parfume,1.42782284446,10
pic,1.42782284446,10
liy,1.42782284446,10
companise,1.42782284446,10
bayby,1.42782284446,10
qualitities,1.42782284446,10
gilette,1.42782284446,10
soup,1.42767005636,22
disgusting,1.42767005636,22
cheating,1.42767005636,22
receiver,1.42767005636,22
juice,1.42767005636,22
mc,1.42745323506,46
tv,1.42414818386,1967
screen,1.42192473685,128
handsome,1.41848773312,39
honesty,1.41848773312,39
shoe,1.41632361538,283
sugar,1.41495279627,56
custmers,1.41444652005,27
mcdonalds,1.41444652005,27
mask,1.41444652005,27
fool,1.41331694197,148
manipulate,1.40908978711,95
pasta,1.40544403492,32
bougth,1.40337865665,15
audiance,1.40337865665,15
facial,1.40337865665,15
clip,1.40337865665,15
vitamin,1.40337865665,15
nicer,1.40337865665,15
cowboy,1.40337865665,15
messege,1.40337865665,15
lure,1.39989621017,76
actress,1.39501411891,86
false,1.39229608839,385
tabacco,1.39160741782,20
produt,1.39160741782,20
fry,1.39160741782,20
item,1.3913299476,471
unreal,1.39010817035,47
shin,1.39010817035,47
selling,1.38715386119,138
weight,1.38523158316,271
dishonest,1.38469466417,25
